MSME_ID,Sector,Years_of_Operation,Ownership_Type,Category,Location_Type,Annual_Revenue,Revenue_Growth_Rate,Profit_Margin,Debt_Outstanding,Loan_to_Revenue_Ratio,Number_of_Employees,Capacity_Utilization,Export_Percentage,Technology_Level,GST_Compliance_Score,Inspection_Score,Documentation_Readiness_Score,Growth_Category
MSME_001,Renewable Energy,11,Pvt Ltd,Medium,Semi-Urban,44,16.194583018099877,29.3708663195278,112,0.39155310233271534,26,84.07413955305947,2.8600635921592,3,64,67,55,High
MSME_002,Technology,17,Pvt Ltd,Medium,Semi-Urban,454,12.1754285390554,14.280177347249957,37,0.6755259207714963,43,77.08423631035745,70.38456923373825,2,55,81,55,Moderate
MSME_003,Agri-Tech,8,Sole Proprietorship,Micro,Semi-Urban,102,21.132851604782708,15.722171971525965,63,0.6952436007839268,24,40.31452197484341,21.606366643880985,3,73,80,97,Moderate
MSME_004,Renewable Energy,4,Sole Proprietorship,Medium,Urban,216,17.400860171081124,26.119735907150535,68,0.24839583828906067,45,65.62041642727186,12.987828064944273,5,68,94,47,High
MSME_005,Retail,6,Partnership,Micro,Urban,362,3.608426931316985,11.703475502387835,135,0.56014743751909,112,71.41392642422986,10.413118636227194,4,58,75,68,Moderate
MSME_006,Textiles,8,Partnership,Micro,Urban,341,16.723869148047818,8.9095451100862,161,0.4305972629140873,88,56.72166498463998,2.45250107557336,1,62,99,78,Low
MSME_007,Agri-Tech,3,Pvt Ltd,Micro,Urban,734,8.236391039504252,26.32724058509126,175,0.7161097165450396,115,57.495744579690964,47.12278366993076,4,58,45,67,High
MSME_008,Agri-Tech,16,Pvt Ltd,Small,Semi-Urban,168,15.634675808028721,6.162514661001637,115,0.2510184754235179,70,92.86376786405908,19.643388542435652,3,64,55,45,Moderate
MSME_009,Renewable Energy,3,Pvt Ltd,Micro,Rural,33,17.643034415379383,20.492486004985395,183,0.574469240217031,57,89.04409758615103,89.04885892016684,3,55,73,55,High
MSME_010,Services,18,Partnership,Micro,Urban,413,7.309071350542277,19.04982118667017,64,0.5254264855769059,38,86.70484530259372,51.69930802849852,4,93,62,59,Moderate
MSME_011,Retail,14,Partnership,Small,Rural,525,12.50774883224848,13.648011187542357,30,0.306711034300283,71,62.33064909383609,12.409674242040937,3,90,89,55,Moderate
MSME_012,Renewable Energy,18,Partnership,Micro,Urban,741,6.377471844838559,12.879738027433975,131,0.19562063255582085,138,40.7534202724903,61.98862867302288,2,48,81,46,Moderate
MSME_013,Retail,2,Partnership,Medium,Urban,373,3.203794143089691,24.296443154540533,112,0.5561478323340936,31,44.41222355506427,80.79692098587527,2,40,63,80,Moderate
MSME_014,Retail,3,Partnership,Medium,Rural,391,10.704957740174988,7.160615269063662,108,0.6170182206926315,14,57.1708002519682,67.06615458326529,3,81,95,53,Moderate
MSME_015,Textiles,16,Partnership,Micro,Semi-Urban,541,10.347718252457815,10.919607732784634,177,0.32093914063434503,77,40.865860214762236,6.879587493550289,3,58,88,82,Moderate
MSME_016,Agri-Tech,9,Partnership,Small,Urban,161,24.896051286197913,23.311218295952244,68,0.5513828228156197,100,40.9432380053359,80.62957630733936,2,72,52,65,High
MSME_017,Technology,4,Pvt Ltd,Medium,Urban,571,12.26610407754577,18.708014593160605,157,0.3765916353280523,52,90.41318159033261,71.45364472739683,3,73,95,65,Moderate
MSME_018,Textiles,1,Pvt Ltd,Small,Urban,698,9.67209963786061,8.199705213339659,119,0.5992448182978325,74,78.83871761654797,14.24735100950529,3,55,57,53,Moderate
MSME_019,Textiles,4,Pvt Ltd,Small,Rural,617,15.350925154483516,27.0533903570515,87,0.2394506924258372,104,56.9925794537484,4.660729985953518,4,83,93,46,High
MSME_020,Retail,1,Pvt Ltd,Medium,Semi-Urban,626,4.041650064478675,14.836196164089788,186,0.7231505018453221,63,47.29545176805242,50.15795177828777,1,79,52,72,Low
MSME_021,Pharmaceuticals,14,Partnership,Small,Rural,429,24.118311926960704,25.69670938305432,66,0.30118671752590587,6,68.13996448422924,14.043223020597921,2,94,88,65,High
MSME_022,Agri-Tech,16,Sole Proprietorship,Medium,Rural,259,16.604081048593763,24.692825388192716,74,0.357450191429307,69,40.29403884699005,75.11318573357448,4,57,76,96,High
MSME_023,Services,8,Partnership,Small,Semi-Urban,126,19.3612698586395,20.610636161793202,44,0.14066436645624486,87,91.61275591219791,32.25011910045064,1,73,82,84,Moderate
MSME_024,Textiles,7,Sole Proprietorship,Medium,Rural,521,5.920992578000103,17.362028282377324,3,0.1780585486248935,14,62.8148315663921,82.16032002629179,3,64,78,59,Moderate
MSME_025,Technology,3,Pvt Ltd,Micro,Semi-Urban,749,11.41799061911969,29.48877100954392,153,0.46110333189862973,57,62.1284225380533,50.91193549269052,3,84,81,42,High
MSME_026,Pharmaceuticals,17,Partnership,Medium,Urban,587,11.72184960811236,8.624126809495426,154,0.2873148737095801,83,61.48264841699802,16.44051458157013,4,45,56,91,Moderate
MSME_027,Pharmaceuticals,1,Pvt Ltd,Medium,Semi-Urban,344,20.901548209724996,23.12889318877787,173,0.6848361580195361,63,43.813058171327064,12.563898062382009,3,60,54,43,High
