MSME_ID,Sector,Growth_Category,Selected_Scheme,Subsidy_Cost,Revenue_Before,Revenue_After,Revenue_Gain,Jobs_Created,Impact_Score,Efficiency_ROI,Allocation_Status,Justification
MSME_250,Retail,Moderate,Rural Agri-Boost,400000,749,861.35,112.35,6,80.445,0.0002011125,Selected,Optimal Impact ROI within Budget
MSME_267,Technology,Low,Digital Startup Fund,300000,792,871.2,79.2,4,56.64,0.0001888,Selected,Optimal Impact ROI within Budget
MSME_196,Services,Low,Digital Startup Fund,300000,766,842.6,76.6,4,54.81999999999999,0.00018273333333333332,Rejected,Budget Capacity Exhausted
MSME_337,Agri-Tech,Moderate,Rural Agri-Boost,400000,673,773.95,100.95,6,72.46499999999999,0.00018116249999999997,Rejected,Budget Capacity Exhausted
MSME_180,Retail,Moderate,Rural Agri-Boost,400000,663,762.45,99.45,6,71.41499999999999,0.00017853749999999997,Rejected,Budget Capacity Exhausted
MSME_215,Retail,Moderate,Rural Agri-Boost,400000,650,747.5,97.5,6,70.05,0.000175125,Rejected,Budget Capacity Exhausted
MSME_218,Agri-Tech,Moderate,Rural Agri-Boost,400000,610,701.5,91.5,6,65.85,0.00016462499999999998,Rejected,Budget Capacity Exhausted
MSME_083,Agri-Tech,Moderate,Rural Agri-Boost,400000,601,691.15,90.15,6,64.905,0.0001622625,Rejected,Budget Capacity Exhausted
MSME_269,Renewable Energy,High,Green Tech Grant,850000,798,973.56,175.56,9,125.592,0.00014775529411764705,Rejected,Budget Capacity Exhausted
MSME_197,Services,Low,Digital Startup Fund,300000,598,657.8,59.8,4,43.059999999999995,0.00014353333333333332,Rejected,Budget Capacity Exhausted
MSME_011,Retail,Moderate,Rural Agri-Boost,400000,525,603.75,78.75,6,56.925,0.0001423125,Rejected,Budget Capacity Exhausted
MSME_323,Technology,High,Pharma R&D Incentive,1000000,792,990.0,198.0,10,141.6,0.0001416,Rejected,Budget Capacity Exhausted
MSME_378,Manufacturing,High,Green Tech Grant,850000,762,929.64,167.64,9,120.04799999999999,0.0001412329411764706,Rejected,Budget Capacity Exhausted
MSME_279,Manufacturing,High,Green Tech Grant,850000,760,927.2,167.2,9,119.73999999999998,0.0001408705882352941,Rejected,Budget Capacity Exhausted
MSME_042,Renewable Energy,High,Green Tech Grant,850000,746,910.12,164.12,9,117.584,0.00013833411764705884,Rejected,Budget Capacity Exhausted
MSME_104,Technology,Low,Digital Startup Fund,300000,565,621.5,56.5,4,40.75,0.00013583333333333335,Rejected,Budget Capacity Exhausted
MSME_107,Pharmaceuticals,High,Pharma R&D Incentive,1000000,728,910.0,182.0,10,130.4,0.0001304,Rejected,Budget Capacity Exhausted
MSME_124,Renewable Energy,High,Green Tech Grant,850000,700,854.0,154.0,9,110.5,0.00013,Rejected,Budget Capacity Exhausted
MSME_193,Manufacturing,High,Green Tech Grant,850000,697,850.34,153.34,9,110.038,0.00012945647058823528,Rejected,Budget Capacity Exhausted
MSME_328,Renewable Energy,High,Green Tech Grant,850000,691,843.02,152.02,9,109.114,0.00012836941176470589,Rejected,Budget Capacity Exhausted
MSME_360,Retail,Moderate,Rural Agri-Boost,400000,464,533.6,69.6,6,50.51999999999999,0.00012629999999999998,Rejected,Budget Capacity Exhausted
MSME_239,Retail,Moderate,Rural Agri-Boost,400000,459,527.85,68.85,6,49.99499999999999,0.00012498749999999997,Rejected,Budget Capacity Exhausted
MSME_356,Renewable Energy,High,Green Tech Grant,850000,671,818.62,147.62,9,106.034,0.00012474588235294117,Rejected,Budget Capacity Exhausted
MSME_102,Services,Low,Digital Startup Fund,300000,506,556.6,50.6,4,36.620000000000005,0.00012206666666666669,Rejected,Budget Capacity Exhausted
MSME_150,Textiles,Moderate,Textile Modernization,550000,755,845.6,90.6,7,65.52,0.00011912727272727272,Rejected,Budget Capacity Exhausted
MSME_064,Manufacturing,Moderate,Textile Modernization,550000,752,842.24,90.24,7,65.26799999999999,0.00011866909090909088,Rejected,Budget Capacity Exhausted
MSME_326,Pharmaceuticals,High,Pharma R&D Incentive,1000000,642,802.5,160.5,10,115.35,0.00011535,Rejected,Budget Capacity Exhausted
MSME_201,Renewable Energy,High,Green Tech Grant,850000,619,755.18,136.18,9,98.026,0.00011532470588235293,Rejected,Budget Capacity Exhausted
MSME_331,Manufacturing,Moderate,Textile Modernization,550000,729,816.48,87.48,7,63.336,0.00011515636363636364,Rejected,Budget Capacity Exhausted
MSME_185,Manufacturing,High,Green Tech Grant,850000,611,745.42,134.42,9,96.79399999999998,0.00011387529411764704,Rejected,Budget Capacity Exhausted
MSME_289,Manufacturing,High,Green Tech Grant,850000,598,729.56,131.56,9,94.792,0.00011152,Rejected,Budget Capacity Exhausted
MSME_298,Renewable Energy,High,Green Tech Grant,850000,595,725.9,130.9,9,94.33,0.00011097647058823529,Rejected,Budget Capacity Exhausted
MSME_189,Renewable Energy,High,Green Tech Grant,850000,594,724.68,130.68,9,94.176,0.00011079529411764707,Rejected,Budget Capacity Exhausted
MSME_353,Manufacturing,Moderate,Textile Modernization,550000,682,763.84,81.84,7,59.388,0.00010797818181818181,Rejected,Budget Capacity Exhausted
MSME_014,Retail,Moderate,Rural Agri-Boost,400000,391,449.65,58.65,6,42.855,0.0001071375,Rejected,Budget Capacity Exhausted
MSME_355,Textiles,Moderate,Textile Modernization,550000,670,750.4,80.4,7,58.38,0.00010614545454545455,Rejected,Budget Capacity Exhausted
MSME_287,Manufacturing,Moderate,Textile Modernization,550000,667,747.04,80.04,7,58.128,0.00010568727272727272,Rejected,Budget Capacity Exhausted
MSME_072,Services,Low,Digital Startup Fund,300000,433,476.3,43.3,4,31.509999999999994,0.00010503333333333332,Rejected,Budget Capacity Exhausted
MSME_363,Manufacturing,Moderate,Textile Modernization,550000,659,738.08,79.08,7,57.455999999999996,0.00010446545454545454,Rejected,Budget Capacity Exhausted
